City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
989,Teluk Nibung,ID,75.38,overcast clouds,3.001,99.8164,Hotel Assyifa
1002,Manjacaze,MZ,76.71,scattered clouds,-24.7117,33.8828,Hotel Gani
1004,Yurimaguas,PE,75.2,light rain,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
1005,Ambulu,ID,75.83,heavy intensity rain,-8.345,113.6058,Hotel Ambulu Jember
1008,Bakel,SN,78.19,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
1010,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
1011,Champerico,GT,86.54,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
1015,Jacqueville,CI,84.11,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
1016,Villa Bruzual,VE,82.02,scattered clouds,9.3328,-69.1208,hotel italia
1019,Teknaf,BD,75.09,broken clouds,20.8624,92.3058,Forestry Guesthouse
1021,Dom Pedro,BR,76.37,broken clouds,-4.4833,-44.45,Pousada Santa Amália
1022,Hervey Bay,AU,83.03,light rain,-25.2986,152.8535,Shelly Bay Resort
1025,Tete,MZ,80.1,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
1029,Lodwar,KE,80.1,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
1030,Maues,BR,77.25,broken clouds,-3.3836,-57.7186,Hotel Miramar
1034,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
1042,Concordia,AR,80.78,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
1043,Mtwara,TZ,77.43,light rain,-10.2667,40.1833,TIL Hotels Mtwara
1045,Kousseri,CM,76.35,overcast clouds,12.0769,15.0306,Le Pilotis
1054,Matamoros,MX,77.11,broken clouds,25.5333,-103.25,Quinta Belem
1056,Cairns,AU,92.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
1057,Banjar,ID,76.91,light rain,-8.19,114.9675,The Hamsa Resort
1061,Nuevo Progreso,MX,80.6,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
1065,Labuhan,ID,79.41,heavy intensity rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
1073,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
1077,Laredo,US,80.6,clear sky,27.5064,-99.5075,La Posada Hotel
1078,Aden,YE,79.5,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
1087,Ponnani,IN,76.32,scattered clouds,10.767,75.9252,Rouba Residency
1090,La Romana,DO,78.53,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
1092,Luganville,VU,85.96,few clouds,-15.5333,167.1667,The Espiritu Hotel
1094,Mlonggo,ID,80.89,overcast clouds,-6.5333,110.7,Asia Metal Art
1096,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,Villa Bella
1097,Kalmunai,LK,76.91,clear sky,7.4167,81.8167,VS Villa
